id,freq,grammar,sv,wclass,example
3590,1756,att,duga,verb,
3591,1756,,negativt,adverb,
3592,1754,en,arkitekt,noun-en,
3593,1753,,livad,adjective,
3594,1753,en,passagerare,noun-en,
3595,,en,finans,noun-en,
3596,1752,en,ekonom,noun-en,
3597,1752,,läsvärd,adjective,
3598,1752,,obegriplig,adjective,
3599,1751,,skam,noun-en,
3600,1751,,skicklig,adjective,
3601,1749,att,störta,verb,
3602,1748,att,överta,verb,
3603,1747,en,feminist,noun-en,
3604,1747,en,orättvisa,noun-en,
3605,1747,en,stadsdel,noun-en,
3606,1747,,årligen,adverb,
3607,1746,en,utbyggnad,noun-en,
3608,1743,en,beskattning,noun-en,
3609,1743,att,återge,verb,
3610,1741,att,koka,verb,
3611,1741,en,taliban,noun-en,
3612,1740,en,skara,noun-en,
3613,1739,ett,bröllop,noun-ett,
3614,1738,en,mormor,noun-en,
3615,1738,,pasta,noun-en,
3616,1737,,itu,particle,e.g. ta itu med
3617,1736,en,fan,noun-en,e.g. sportfans
3618,1736,ett,syskon,noun-ett,
3619,1735,en,tillverkning,noun-en,
3620,,,bunden,adjective,
3621,1734,en,gitarr,noun-en,
3622,1732,en,diagnos,noun-en,
3623,1732,,häftig,adjective,
3624,1732,att,överklaga,verb,
3625,1731,en,strejk,noun-en,
3626,1731,ett,tvång,noun-ett,
3627,1730,ett,dödsfall,noun-ett,
3628,1730,,import,noun-en,
3629,1729,,formellt,adverb,
3630,1729,,rund,adjective,
3631,1729,en,sambo,noun-en,
3632,1729,,teknologi,noun-en,
3633,1728,,iransk,adjective,
3634,1728,,någorlunda,adverb,
3635,1727,en,genomgång,noun-en,
3636,1727,en,grundskola,noun-en,
3637,1726,en,framställning,noun-en,
3638,1726,en,rådgivare,noun-en,
3639,1726,att,vrida,verb,
3640,1725,,behaglig,adjective,
3641,1725,att,fästa,verb,
3642,1725,en,målning,noun-en,
3643,1725,ett,underskott,noun-ett,
3644,1723,,framme,adverb,
3645,1723,ett,imperium,noun-ett,
3646,1723,,lönsam,adjective,
3647,1723,,söder,noun,
3648,1722,,successivt,adverb,
3649,1721,en,hänvisning,noun-en,
3650,1721,,konsekvent,adverb,
3651,,,isolerad,adjective,
3652,1720,en,handlingsplan,noun-en,
3653,1720,en,tvåa,noun-en,
3654,1717,att,häva,verb,
3655,1717,att,upphäva,verb,
3656,1716,en,färdighet,noun-en,
3657,1715,ett,självmord,noun-ett,e.g. begå självmord
3658,1715,ett,svärd,noun-ett,
3659,1714,ett,stall,noun-ett,
3660,1711,ett,styre,noun-ett,
3661,,,fristående,adjective,
3662,1709,,ilska,noun-en,
3663,1708,,dumt,adjective,
3664,1707,att,offentliggöra,verb,
3665,1707,en,privatperson,noun-en,
3666,1706,att,kompensera,verb,
3667,1705,en,överraskning,noun-en,
3668,,,stängd,particip,
3669,1701,en,tröja,noun-en,
3670,1700,en,komponent,noun-en,
3671,1699,en,festival,noun-en,
3672,1698,en,lågkonjunktur,noun-en,
3673,1698,att,återställa,verb,
3674,1697,en,skandal,noun-en,
3675,1696,,med hänvisning till,prep,
3676,1695,att,förutse,verb,
3677,1695,,minst sagt,adverb,
3678,1695,att,stötta,verb,
3679,1693,,fantastiskt,adverb,
3680,1693,en,karl,noun-en,
3681,1692,,aggressiv,adjective,
3682,1692,,härmed,adverb,
3683,1691,en,avsaknad,noun-en,
3684,1691,,kemisk,adjective,
3685,1691,,saknad,noun-en,
3686,1688,en,raket,noun-en,
3687,1688,en,ton,noun-en,
3688,1688,en,tunnelbana,noun-en,
3689,1688,att,värma,verb,
3690,1686,ett,kommunistparti,noun-ett,
3691,1686,en,marginal,noun-en,
3692,1686,,respektive,adverb,
3693,1685,,gravid,adjective,
3694,1685,en,kniv,noun-en,
3695,1685,att,ramla,verb,
3696,1685,en,villa,noun-en,
3697,1684,,dryg,adjective,
3698,1684,en,lampa,noun-en,
3699,,,överdriven,adjective,
3700,1683,en,back,noun-en,
3701,1683,en,kusin,noun-en,
3702,1682,en,knapp,noun-en,
3703,1682,att,skynda,verb,e.g. skynda sig
3704,1681,ett,privatliv,noun-ett,
3705,1681,en,toalett,noun-en,
3706,1679,att,bada,verb,
3707,1679,,lustig,adjective,
3708,1679,en,provins,noun-en,
3709,1678,,orättvis,adjective,
3710,1678,,sexualitet,noun-en,
3711,1678,en,upptäckt,noun-en,
3712,1677,,kreativitet,noun-en,
3713,1677,ett,lagråd,noun-ett,
3714,,en,malm,noun-en,
3715,1673,att,referera,verb,
3716,1673,,teologi,noun-en,
3717,1672,,arkitektur,noun-en,
3718,1672,att,förvalta,verb,
3719,1672,ett,rättsväsende,noun-ett,
3720,,en,lord,noun-en,
3721,1670,en,poet,noun-en,
3722,1668,en,stuga,noun-en,
3723,1667,att,regna,verb,
3724,1667,att,spekulera,verb,
3725,1665,en,bonus,noun-en,
3726,1665,en,längtan,noun-en,
3727,1664,,rymd,noun-en,e.g. rymden
3728,1662,,fruktansvärt,adverb,
3729,1659,ett,bad,noun-ett,
3730,1656,ett,förhör,noun-ett,
3731,1656,,likvärdig,adjective,
3732,1655,att,upplösa,verb,
3733,1653,att,blockera,verb,
3734,1653,en,fröken,noun-en,
3735,1652,att,hysa,verb,
3736,1652,ett,klipp,noun-ett,
3737,1652,,äganderätt,noun-en,
3738,1651,en,akademi,noun-en,
3739,1651,att,benämna,verb,
3740,1651,,indisk,adjective,
3741,1651,,rosa,adjective,
3742,1651,,tycke,noun-ett,
3743,1650,,avlägsen,adjective,
3744,1649,,konstigt,adverb,
3745,1649,en,marknadsekonomi,noun-en,
3746,1648,att,uppta,verb,
3747,1646,,utland,noun-ett,
3748,1645,att,erinra,verb,
3749,1645,,finanser,noun,(plural)
3750,1645,,lärande,noun-ett,
3751,1644,en,råvara,noun-en,
3752,1642,,förenlig,adjective,
3753,1641,att,klättra,verb,e.g. klättra upp
3754,,,berättigad,adjective,
3755,1640,en,brottsling,noun-en,
3756,,,tillhörande,adjective,
3757,1637,,delaktig,adjective,
3758,1637,att,rusa,verb,
3759,1636,en,änka,noun-en,
3760,1635,att,plugga,verb,
3761,1635,en,prins,noun-en,
3762,1634,,mystisk,adjective,
3763,1634,en,same,noun-en,
3764,1632,en,bar,noun-en,
3765,1632,,indirekt,adverb,
3766,1632,en,webbsida,noun-en,
3767,1630,att,avveckla,verb,
3768,1630,ett,bygge,noun-ett,
3769,1630,ett,föredrag,noun-ett,
3770,1629,att,bibehålla,verb,
3771,1629,en,näring,noun-en,
3772,1628,,poesi,noun-en,
3773,1628,att,smyga,verb,
3774,1627,en,förort,noun-en,
3775,1626,,genetisk,adjective,
3776,1625,,sorglig,adjective,
3777,1624,en,fransman,noun-en,
3778,1624,en,genre,noun-en,
3779,1624,,lat,adjective,
3780,1622,en,lastbil,noun-en,
3781,1621,att,vårda,verb,
3782,1619,att,lista,verb,
3783,,,inledande,adjective,
3784,1618,en,debattör,noun-en,
3785,1616,en,premiär,noun-en,
3786,1616,ett,redskap,noun-ett,
3787,1616,en,vila,noun-en,
3788,1614,en,novell,noun-en,
3789,1614,,väsentligt,adverb,
3790,1613,en,matte,noun-en,
3791,1610,ett,anförande,noun-ett,
3792,1610,en,hyra,noun-en,
3793,1610,,mogen,adjective,
3794,1610,,osynlig,adjective,
3795,1608,,besvärlig,adjective,
3796,1608,en,dansk,noun-en,
3797,1606,ett,överskott,noun-ett,
3798,1604,en,kompromiss,noun-en,
3799,1604,en,uppskattning,noun-en,
3800,1602,en,kvart,noun-en,
3801,1602,en,spekulation,noun-en,
3802,,,urban,adjective,
3803,1601,,begriplig,adjective,
3804,1601,en,träff,noun-en,
3805,1600,en,flykt,noun-en,
3806,1600,,poker,noun-en,
3807,1600,en,uppgörelse,noun-en,
3808,1599,en,besvikelse,noun-en,
3809,1599,,gradvis,adverb,
3810,1597,,acceptabel,adjective,
3811,1597,att,lugna,verb,e.g. lugna sig
3812,1597,,skräck,noun-en,
3813,1596,,komplett,adjective,
3814,1595,,norr om,prep,
3815,1593,,förhållandevis,adverb,
3816,1593,att,hugga,verb,
3817,1593,ett,massmedium,noun-ett,(vanligast massmedia)
3818,1593,,varpå,adverb,
3819,1593,att,åtala,verb,
3820,1592,en,gris,noun-en,
3821,1590,en,medverkan,noun-en,
3822,1590,,märkligt,adverb,
3823,1590,ett,uppehållstillstånd,noun-ett,
3824,1587,ett,original,noun-ett,
3825,1587,en,utdelning,noun-en,
3826,1586,en,julklapp,noun-en,
3827,1586,en,klapp,noun-en,
3828,1586,,långvarig,adjective,
3829,1586,,still,adverb,
3830,1584,en,sammansättning,noun-en,
3831,1583,,oändlig,adjective,
3832,1581,,oerhörd,adjective,
3833,1581,en,rast,noun-en,
3834,1581,en,skapare,noun-en,
3835,1580,en,benämning,noun-en,
3836,1580,att,transportera,verb,
3837,1579,en,uppdelning,noun-en,
3838,1579,ett,väsen,noun-ett,
3839,1578,en,islamist,noun-en,
3840,1578,en,självklarhet,noun-en,
3841,1576,ett,beaktande,noun-ett,
3842,1576,,i kombination med,prep,
3843,1576,att,reta,verb,
3844,1576,en,trakt,noun-en,
3845,1575,,inledningsvis,adverb,
3846,1575,en,krog,noun-en,
3847,1574,,enig,adjective,
3848,1574,att,ärva,verb,
3849,1573,en,jätte,noun-en,
3850,1572,en,börda,noun-en,
3851,1572,att,föregå,verb,
3852,1572,en,publicering,noun-en,
3853,1572,ett,skifte,noun-ett,
3854,1570,en,aktivist,noun-en,
3855,1570,en,guide,noun-en,
3856,1570,att,smälta,verb,
3857,1570,att,styrka,verb,
3858,1569,att,frysa,verb,
3859,1569,,noggrann,adjective,
3860,1567,,systematisk,adjective,
3861,1567,ett,tillträde,noun-ett,
3862,1565,en,val,noun-en,
3863,1564,,oväntat,adverb,
3864,1562,,kompetent,adjective,
3865,1562,,prostitution,noun-en,
3866,1562,ett,skick,noun-ett,
3867,,,mätt,adjective,
3868,1560,ett,inköp,noun-ett,
3869,1559,en,ficka,noun-en,
3870,1558,ett,nederlag,noun-ett,
3871,1557,en,ansökning,noun-en,
3872,1557,,verkligt,adverb,
3873,1556,en,story,noun-en,
3874,1555,en,byrå,noun-en,
3875,1555,en,dryck,noun-en,
3876,1555,,smidig,adjective,
3877,1555,en,synvinkel,noun-en,
3878,1555,,så gott som,adverb,
3879,1553,att,försvaga,verb,
3880,1553,,gräs,noun-ett,
3881,,,förfluten,adjective,
3882,1551,att,simma,verb,
3883,1550,,fysik,noun-en,
3884,1550,,hockey,noun-en,
3885,1548,,produktivitet,noun-en,
3886,1547,ett,incitament,noun-ett,
3887,1546,en,kontrast,noun-en,
3888,1546,en,läpp,noun-en,
3889,1546,,progressiv,adjective,
3890,1545,,anmärkningsvärd,adjective,
3891,1545,en,mobil,noun-en,
3892,1545,en,tull,noun-en,
3893,1544,att,fotografera (vardagl. fota),verb,
3894,1544,en,skärm,noun-en,
3895,1543,en,databas,noun-en,
3896,1543,ett,fynd,noun-ett,
3897,1542,ett,bekymmer,noun-ett,
3898,1542,,underhåll,noun-ett,
3899,1540,,i gång (el. igång),adverb,
3900,1540,,tätt,adverb,
3901,1540,,överlägsen,adjective,
3902,1539,en,grek,noun-en,
3903,1538,en,kedja,noun-en,
3904,1536,ett,sår,noun-ett,
3905,1536,en,uppenbarelse,noun-en,
3906,1536,ett,utfall,noun-ett,
3907,1535,,naiv,adjective,
3908,1535,,still,adjective,
3909,1534,en,morgondag,noun-en,
3910,1534,,nöd,noun-en,
3911,1533,en,motorväg,noun-en,
3912,1533,ett,utvecklingsland,noun-ett,
3913,1532,en,avhandling,noun-en,
3914,1532,,godis,noun-ett,
3915,1532,en,ko,noun-en,
3916,1532,att,påvisa,verb,
3917,1530,att,trampa,verb,
3918,1529,en,ambassadör,noun-en,
3919,1529,att,torka,verb,
3920,1528,,så att säga,adverb,
3921,1528,en,titt,noun-en,
3922,1527,att,spränga,verb,
3923,1525,en,halva,noun-en,
3924,1525,att,känneteckna,verb,
3925,1525,ett,ombud,noun-ett,
3926,1524,,ortodox,adjective,
3927,1524,,problematisk,adjective,
3928,1522,ett,virus,noun-ett,
3929,1521,,himmelsk,adjective,
3930,1521,en,uppsats,noun-en,
3931,,,strålande,adjective,
3932,,,bindande,adjective,
3933,1518,,alltjämt,adverb,
3934,1518,,jämt,adverb,
3935,1517,,hungrig,adjective,
3936,1516,,elak,adjective,
3937,1515,en,bosättning,noun-en,
3938,1514,,miljövänlig,adjective,
3939,1512,,förfogande,noun,e.g. till förfogande
3940,1512,en,lucka,noun-en,
3941,1512,en,procentenhet,noun-en,
3942,1512,ett,sammanträde,noun-ett,
3943,1511,,musikalisk,adjective,
3944,1508,,självförtroende,noun-ett,
3945,1506,,cool,adjective,
3946,1506,att,fördjupa,verb,
3947,1505,en,ingång,noun-en,
3948,1504,en,sed,noun-en,
3949,1504,en,taxi,noun-en,
3950,1504,att,vänja,verb,e.g. vänja sig
3951,1503,en,författning,noun-en,
3952,1503,en,huvudperson,noun-en,
3953,1503,en,hypotes,noun-en,
3954,1503,,panik,noun-en,
3955,1503,en,stämma,noun-en,
3956,1502,en,avslutning,noun-en,
3957,1502,en,deklaration,noun-en,
3958,1501,en,sväng,noun-en,
3959,1500,ett,presidentval,noun-ett,
3960,1499,att,undgå,verb,
3961,1496,en,illusion,noun-en,
3962,1496,en,international,noun-en,
3963,1496,ett,intrång,noun-ett,
3964,1496,,skattepengar,noun,
3965,1495,,stolthet,noun-en,
3966,1495,,utnyttjande,noun-ett,
3967,1495,,överlevnad,noun-en,
3968,1494,en,problematik,noun-en,
3969,1494,,sällsynt,adjective,
3970,1492,en,dumhet,noun-en,
3971,1492,ett,flöde,noun-ett,
3972,1491,,jättebra,adjective,
3973,1490,,i jämförelse med,prep,
3974,1487,ett,medborgarskap,noun-ett,
3975,1487,,snack,noun-ett,
3976,1486,,parallellt,adverb,
3977,1485,en,påföljd,noun-en,
3978,1484,,söder om,prep,
3979,1483,,strax efter,adverb,
3980,1483,en,talang,noun-en,
3981,1483,,varmt,adverb,
3982,1482,en,pjäs,noun-en,
3983,1481,ett,kansli,noun-ett,
3984,1481,,lagligt,adverb,
3985,1481,,sand,noun-en,
3986,1480,en,fildelare,noun-en,
3987,1480,en,liga,noun-en,
3988,1480,,parlamentarisk,adjective,
3989,1478,ett,vittnesbörd,noun-ett,
3990,1477,att,avrätta,verb,
3991,1477,,fiske,noun-ett,
3992,1477,,gynnsam,adjective,
3993,1476,en,dokumentär,noun-en,
3994,1476,,dödlig,adjective,
3995,1475,en,beteckning,noun-en,
3996,1475,,jämte,prep,
3997,1475,,uttryckligen,adverb,
3998,1474,ett,distrikt,noun-ett,
3999,1474,en,påse,noun-en,
4000,1473,en,baksida,noun-en,
4001,1473,en,plånbok,noun-en,
4002,1473,en,uppsägning,noun-en,
4003,1472,att,fullfölja,verb,
4004,1471,att,foga,verb,
4005,1471,,psykologi,noun-en,
4006,1470,ett,hjul,noun-ett,
4007,1470,en,klänning,noun-en,
4008,1469,en,anteckning,noun-en,
4009,1469,,trä,noun-ett,
4010,1468,ett,belägg,noun-ett,
4011,1468,att,blunda,verb,
4012,1468,en,vik,noun-en,
4013,1467,ett,bråk,noun-ett,
4014,1467,att,värva,verb,
4015,1466,,biblisk,adjective,
4016,1466,att,sikta,verb,
4017,1466,,uteslutande,adverb,
4018,1465,en,pryl,noun-en,
4019,1464,en,begravning,noun-en,
4020,1464,,naturligt,adverb,
4021,1463,en,bredd,noun-en,
4022,1462,en,frälsning,noun-en,
4023,1461,ett,funktionshinder,noun-ett,
4024,1461,,såvida,subj,
4025,1460,att,avvika,verb,
4026,1460,,influensa,noun-en,
4027,1459,en,medvetenhet,noun-en,
4028,1459,en,muskel,noun-en,
4029,1459,,ointressant,adjective,
4030,1459,,samhällelig,adjective,
4031,1457,,apropå,prep,
4032,1457,en,cirkel,noun-en,
4033,1457,ett,rekord,noun-ett,
4034,1456,en,bemärkelse,noun-en,
4035,1455,en,djävul,noun-en,
4036,1453,,tålamod,noun-ett,
4037,1453,ett,utspel,noun-ett,
4038,1453,att,verkställa,verb,
4039,1452,ett,hjälpmedel,noun-ett,
4040,1452,ett,riksdagsval,noun-ett,
4041,1452,att,svära,verb,
4042,1452,en,tagg,noun-en,
4043,1451,att,deklarera,verb,
4044,1451,,meningsfull,adjective,
4045,1449,,i anslutning till,prep,
4046,1449,,rimligen,adverb,
4047,1447,en,minut (förk. min.),noun-en,
4048,1445,,annanstans,adverb,
4049,1445,,knapp,adjective,
4050,1445,ett,kvartal,noun-ett,
4051,,ett,party,noun-ett,
4052,1444,att,imponera,verb,
4053,1444,,innanför,prep,
4054,1443,en,expansion,noun-en,
4055,1443,,vaken,adjective,
4056,1441,,kunnig,adjective,
4057,1441,ett,scenario,noun-ett,
4058,1439,en,leverans,noun-en,
4059,1439,,medelstor,adjective,
4060,1439,ett,salt,noun-ett,
4061,1439,,sannolik,adjective,
4062,1439,en,vänskap,noun-en,
4063,1438,en,farmor,noun-en,
4064,1438,,tiotusentals,adverb,
4065,1436,,lokalt,adverb,
4066,1435,att,frigöra,verb,
4067,1435,en,prestation,noun-en,
4068,1434,,olämplig,adjective,
4069,1433,en,belöning,noun-en,
4070,1433,,styrning,noun-en,
4071,1433,ett,säte,noun-ett,
4072,1432,en,sjukförsäkring,noun-en,
4073,1432,att,upplysa,verb,
4074,1431,en,halvtimme,noun-en,
4075,1430,en,uppsättning,noun-en,
4076,,ett,sms,noun-ett,
4077,1428,,elektrisk,adjective,
4078,1428,,folkbildning,noun-en,
4079,1428,,kriminalitet,noun-en,
4080,1427,en,födelse,noun-en,
4081,1427,en,registrering,noun-en,
4082,,,nord,noun,
4083,1425,att,färdas,verb,
4084,1424,en,världsbild,noun-en,
4085,1423,att,brista,verb,
4086,1423,en,prinsessa,noun-en,
4087,1423,att,överlåta,verb,
4088,1422,att,konsumera,verb,
4089,1422,,vardaglig,adjective,
4090,1421,en,besättning,noun-en,
4091,1421,ett,manus,noun-ett,
4092,1421,,mestadels,adverb,
4093,,,glädjande,adjective,
4094,1420,,imperialism,noun-en,
4095,1418,ett,departement,noun-ett,
4096,1418,att,förfölja,verb,
4097,1418,,operativ,adjective,
4098,1416,,fullmäktige,noun,
4099,1416,,kommunfullmäktige,noun,
4100,1413,,nyliberal,adjective,
4101,1413,ett,sparande,noun-ett,
4102,1412,en,interpellation,noun-en,
4103,1412,,marxism,noun-en,
4104,1412,,trång,adjective,
4105,1411,en,angelägenhet,noun-en,
4106,1411,en,potatis,noun-en,
4107,1410,,medeltida,adjective,
4108,,,underhållande,adjective,
4109,1409,en,ensamhet,noun-en,
4110,1409,,noggrant,adverb,
4111,1409,,sprit,noun-en,
4112,1408,en,panna,noun-en,
4113,1407,en,sakfråga,noun-en,
4114,1406,,brun,adjective,
4115,1406,en,kind,noun-en,
4116,1405,en,förekomst,noun-en,
4117,1405,,härifrån,adverb,
4118,1405,,okunnig,adjective,
4119,1404,,oförändrad,adjective,
4120,1403,,sedermera,adverb,
4121,1402,,möjligtvis,adverb,
4122,1401,att,fordra,verb,
4123,1401,ett,förhållningssätt,noun-ett,
4124,1401,en,hall,noun-en,
4125,,,regelbunden,adjective,
4126,1399,en,klassiker,noun-en,
4127,1399,,uppkomst,noun-en,
4128,1399,,vägledning,noun-en,
4129,1398,att,kika,verb,
4130,1397,en,dos,noun-en,
4131,1397,,försiktigt,adverb,
4132,1396,,blodig,adjective,
4133,1396,,dynamisk,adjective,
4134,1396,en,portion,noun-en,
4135,1396,,smutsig,adjective,
4136,1395,att,svika,verb,
4137,1394,,smått,adverb,
4138,1393,,bortsett från,prep,
4139,1393,en,förstärkning,noun-en,
4140,1393,en,förteckning,noun-en,
4141,1392,ett,narkotikum,noun-ett,(vanligast narkotika)
4142,1391,en,björn,noun-en,
4143,1391,en,engelsman,noun-en,
4144,1391,att,utropa,verb,
4145,1390,,fascism,noun-en,
4146,1390,att,gnälla,verb,
4147,1390,,underbart,adverb,
4148,1389,en,ankomst,noun-en,
4149,1389,ett,barnbarn,noun-ett,
4150,1389,en,gudstjänst,noun-en,
4151,1389,en,pott,noun-en,
4152,1389,en,regissör,noun-en,
4153,1389,en,turk,noun-en,
4154,1388,en,hylla,noun-en,
4155,1388,,tillfälligt,adverb,
4156,1386,ett,ungdomsförbund,noun-ett,
4157,1385,att,eftersträva,verb,
4158,1385,att,förflytta,verb,
4159,1385,en,sekreterare,noun-en,
4160,1384,,missnöjd,adjective,
4161,1383,,värdelös,adjective,
4162,1382,en,doft,noun-en,
4163,1381,,passiv,adjective,
4164,1381,en,uppfinning,noun-en,
4165,1380,,språklig,adjective,
4166,1379,att,härska,verb,
4167,1379,ett,kast,noun-ett,
4168,1379,,sympati,noun-en,
4169,1378,en,behörighet,noun-en,
4170,1378,att,förknippa,verb,
4171,1378,en,insändare,noun-en,
4172,1378,,judendom,noun-en,
4173,1376,en,sjuksköterska,noun-en,
4174,1376,ett,tält,noun-ett,
4175,1376,en,uppgång,noun-en,
4176,1375,att,inskränka,verb,
4177,1375,att,prestera,verb,
4178,1375,,udda,adjective,
4179,,en,journal,noun-en,
4180,1374,,diplomatisk,adjective,
4181,,,tillfredsställande,adjective,
4182,1372,ett,förakt,noun-ett,
4183,1371,att,regera,verb,
4184,1369,,indirekt,adjective,
4185,1368,,gyllene,adjective,
4186,1368,,söderut,adverb,
4187,1367,en,kapitalist,noun-en,
4188,1366,ett,genomslag,noun-ett,
4189,1366,,teologisk,adjective,
4190,1363,en,matta,noun-en,
4191,1362,en,medelklass,noun-en,
4192,1362,en,målgrupp,noun-en,
4193,1362,att,sortera,verb,
4194,1362,,säkerhetspolitik,noun-en,
4195,1361,en,födelsedag,noun-en,
4196,1361,att,misshandla,verb,
4197,1361,ett,mynt,noun-ett,
4198,1361,,rörlig,adjective,
4199,1360,,gods,noun-ett,
4200,1359,en,beredning,noun-en,
4201,1359,,traditionellt,adverb,
4202,1358,att,bliva,verb,(vanligast bli)
4203,1357,en,agent,noun-en,
4204,1357,,exklusiv,adjective,
4205,1357,ett,handlande,noun-ett,
4206,1357,,socker,noun-ett,
4207,1357,ett,upplopp,noun-ett,
4208,1356,en,kaka,noun-en,
4209,1356,,kollektivtrafik,noun-en,
4210,1355,att,anlägga,verb,
4211,1355,en,upphandling,noun-en,
4212,1354,att,breda,verb,e.g. breda ut
